lake x y coexist elev catcharea lakearea maxdepth species temp1 temp2 temp3
64670 1320820 6905210 1 777 53.2 0.48 10 6 0.85 3.57 5.63
85654 1562080 7381800 1 614 17.5 0.0503 2.5 2 -1.5 1.37 3.43
85511 1563950 7382410 1 605 3.26 0.38 5 2 -1.5 1.37 3.43
1689 1636420 7505590 1 576 1180.69 15.12 30 9 -2.07 0.94 3.03
58261 1546260 6942910 1 277 36.96 10.16 52 11 3.38 6.22 8.18
31187 1292400 6403640 1 90 25.1 2.59 50 8 6.77 9.59 11.43
38292 1253880 6536210 1 38 624.21 6.89 38 12 6.14 9.28 11.13
14553 1509290 6619980 1 85 21.43 3.23 16 8 5.59 8.58 10.50
11870 1588080 7238840 1 327 34.05 6.95 36 10 1.05 3.85 5.76
440 1505270 6879310 1 208 617.72 23.6 17 8 3.68 6.51 8.52
1820 1673400 7572770 1 340 3346.19 330 168 9 -1.75 1.28 3.30
33590 1454970 6447270 1 149 1904.36 130.3 53 22 6.14 9.07 11.02
85715 1563690 7382080 1 608 482.19 1.5 20 4 -1.5 1.37 3.43
59788 1322740 6844520 1 800 1.1 0.22 5 3 1.47 4.17 6.28
73578 1544520 7195630 1 417 2252.81 83.44 140 10 1.16 3.91 5.85
85522 1561620 7382190 1 618 17.01 0.042 2.5 2 -1.5 1.37 3.43
56314 1325440 6924860 1 791 82.63 0.1 3 4 0.85 3.57 5.63
1100 1560910 7221880 1 348 6604.18 170.71 128 13 1.16 3.91 5.85
31253 1302320 6404580 1 121 40.41 7.4 72 13 6.77 9.59 11.43
1599 1673160 7442650 1 370 10031.09 162.7 28.5 8 -0.33 2.56 4.54
56353 1318800 6926960 1 814 58.62 0.74 4 4 0.85 3.57 5.63
54033 1561790 7387970 1 624 430.91 17.06 40 6 -1.5 1.37 3.43
78434 1456400 7126280 1 333 270.89 1.7 23 6 1.7 4.39 6.32
494 1321030 6908090 1 781 32.73 0.34 10 6 0.85 3.57 5.63
1452 1568000 7368000 1 510 975.76 63.38 51 5 -0.99 1.88 3.93
32031 1280910 6398980 1 62 176.09 2.17 22 11 6.77 9.59 11.43
65075 1330650 6907520 1 779 5.39 0.67 9 4 0.85 3.57 5.63
104078 1368660 6295110 1 141 1695.24 173.19 36 20 6.26 9.22 11.13
541 1319670 6931120 1 846 22.07 0.85 30 4 0.79 3.42 5.40
21642 1512800 6723480 1 245 23.24 6.77 48 11 4.7 7.67 9.62
22681 1513060 6740320 1 257 64.13 7.15 32 11 4.37 7.29 9.26
18163 1340000 6696830 1 195 11.7 1.48 19 13 3.91 6.72 8.67
65496 1335070 6900010 1 719 73.85 0.78 5 3 0.85 3.57 5.63
55018 1562710 7384870 1 609 471.3 0.48 4.5 5 -1.5 1.37 3.43
64900 1320700 6908550 1 785 30.79 10.47 28 5 0.85 3.57 5.63
1346 1593660 7330370 1 431 4216.56 226.29 221 11 -0.48 2.44 4.50
42245 1653780 7532510 1 467 1065.26 29.52 36 8 -2.14 0.83 2.86
65009 1320990 6906640 1 780 37.58 0.82 15 5 0.85 3.57 5.63
85720 1561150 7382060 1 622 16.69 2.27 10 5 -1.5 1.37 3.43
3464 1532790 7262860 1 512 165.92 3.37 18 6 0.51 3.31 5.29
533 1324100 6925240 1 796 77.18 0.147 5 4 0.85 3.57 5.63
698 1432550 7021720 1 292 12077.07 446.88 92 20 1.81 4.57 6.52
56381 1321420 6926360 1 803 64.16 0.2 5 4 0.85 3.57 5.63
64853 1334570 6905530 1 780 5.34 0.35 10 4 0.85 3.57 5.63
67035 1455500 6490290 1 88 6485.93 1885.97 86 30 6.15 9.06 11.00
206799 1325812 6897884 1 749 101.17 0.087 6 2 0.85 3.57 5.63
75249 1492920 7199730 1 524 14.86 0.56 7 2 0.72 3.44 5.40
