"Max Temperature, Min Temperature, Average Temperature, Error, Precipitation, Snowfall, Error, Heating Degree Days, Cooling Degree Days, Error Daily Lister (2022-01-01 - 2023-04-01), Stn: 12919"

Station:,BROWNSVILLE S PADRE ISLAND INTL AP,State:,TX,ID:,12919
Latitude:,25.91459 degreeN,Longitude:,97.42314 degreeW,Elevation:,19.0 feet
Station period of record:,maxt: 12/01/1898-04/12/2023; mint: 12/01/1898-04/12/2023; avgt: 12/01/1898-04/12/2023; obst: 02/01/1902-06/25/1948; pcpn: 12/01/1898-04/12/2023; snow: 12/01/1898-04/12/2023; snwd: 12/01/1898-04/10/2023; hdd: 12/01/1898-04/12/2023; cdd: 12/01/1898-04/12/2023; evap: null

Date,maxt,mint,avgt,obst,pcpn,snow,snwd,hdd,cdd,evap
2022-01-01,89,73,81.0,M,0.00,0.0,0,0,16,M
2022-01-02,76,46,61.0,M,T,0.0,0,4,0,M
2022-01-03,62,40,51.0,M,0.00,0.0,0,14,0,M
2022-01-04,77,45,61.0,M,0.00,0.0,0,4,0,M
2022-01-05,83,54,68.5,M,0.00,0.0,0,0,4,M
2022-01-06,86,59,72.5,M,T,0.0,0,0,8,M
2022-01-07,71,57,64.0,M,T,0.0,0,1,0,M
2022-01-08,84,54,69.0,M,0.00,0.0,0,0,4,M
2022-01-09,86,63,74.5,M,0.39,0.0,0,0,10,M
2022-01-10,63,52,57.5,M,0.07,0.0,0,7,0,M
2022-01-11,73,51,62.0,M,0.00,0.0,0,3,0,M
2022-01-12,66,59,62.5,M,0.01,0.0,0,2,0,M
2022-01-13,76,55,65.5,M,0.00,0.0,0,0,1,M
2022-01-14,80,54,67.0,M,0.00,0.0,0,0,2,M
2022-01-15,68,52,60.0,M,T,0.0,0,5,0,M
2022-01-16,67,37,52.0,M,0.00,0.0,0,13,0,M
2022-01-17,74,39,56.5,M,0.00,0.0,0,8,0,M
2022-01-18,81,51,66.0,M,0.00,0.0,0,0,1,M
2022-01-19,83,66,74.5,M,0.00,0.0,0,0,10,M
2022-01-20,68,37,52.5,M,0.21,0.0,0,12,0,M
2022-01-21,46,34,40.0,M,0.58,0.0,0,25,0,M
2022-01-22,62,45,53.5,M,0.00,0.0,0,11,0,M
2022-01-23,63,53,58.0,M,0.25,0.0,0,7,0,M
2022-01-24,57,51,54.0,M,0.20,0.0,0,11,0,M
2022-01-25,68,53,60.5,M,0.02,0.0,0,4,0,M
2022-01-26,72,49,60.5,M,T,0.0,0,4,0,M
2022-01-27,71,59,65.0,M,0.12,0.0,0,0,0,M
2022-01-28,64,49,56.5,M,0.47,0.0,0,8,0,M
2022-01-29,67,48,57.5,M,0.00,0.0,0,7,0,M
2022-01-30,74,47,60.5,M,T,0.0,0,4,0,M
2022-01-31,80,64,72.0,M,0.22,0.0,0,0,7,M
2022-02-01,72,57,64.5,M,0.00,0.0,0,0,0,M
2022-02-02,81,66,73.5,M,0.00,0.0,0,0,9,M
2022-02-03,73,39,56.0,M,T,0.0,0,9,0,M
2022-02-04,46,35,40.5,M,T,0.0,0,24,0,M
2022-02-05,57,35,46.0,M,0.00,0.0,0,19,0,M
2022-02-06,66,41,53.5,M,0.28,0.0,0,11,0,M
2022-02-07,61,52,56.5,M,1.51,0.0,0,8,0,M
2022-02-08,70,46,58.0,M,0.00,0.0,0,7,0,M
2022-02-09,73,42,57.5,M,0.00,0.0,0,7,0,M
2022-02-10,73,50,61.5,M,0.00,0.0,0,3,0,M
2022-02-11,76,59,67.5,M,0.00,0.0,0,0,3,M
2022-02-12,79,48,63.5,M,0.04,0.0,0,1,0,M
2022-02-13,64,41,52.5,M,0.00,0.0,0,12,0,M
2022-02-14,71,42,56.5,M,0.00,0.0,0,8,0,M
2022-02-15,79,49,64.0,M,0.00,0.0,0,1,0,M
2022-02-16,80,64,72.0,M,0.00,0.0,0,0,7,M
2022-02-17,85,59,72.0,M,0.00,0.0,0,0,7,M
2022-02-18,62,44,53.0,M,0.00,0.0,0,12,0,M
2022-02-19,71,50,60.5,M,0.00,0.0,0,4,0,M
2022-02-20,77,56,66.5,M,0.02,0.0,0,0,2,M
2022-02-21,83,69,76.0,M,0.00,0.0,0,0,11,M
2022-02-22,87,71,79.0,M,0.00,0.0,0,0,14,M
2022-02-23,83,49,66.0,M,0.00,0.0,0,0,1,M
2022-02-24,54,41,47.5,M,0.02,0.0,0,17,0,M
2022-02-25,50,42,46.0,M,T,0.0,0,19,0,M
2022-02-26,50,42,46.0,M,T,0.0,0,19,0,M
2022-02-27,54,46,50.0,M,0.01,0.0,0,15,0,M
2022-02-28,68,46,57.0,M,0.00,0.0,0,8,0,M
2022-03-01,73,43,58.0,M,0.00,0.0,0,7,0,M
2022-03-02,78,50,64.0,M,0.00,0.0,0,1,0,M
2022-03-03,79,65,72.0,M,T,0.0,0,0,7,M
2022-03-04,83,66,74.5,M,0.00,0.0,0,0,10,M
2022-03-05,84,68,76.0,M,0.00,0.0,0,0,11,M
2022-03-06,83,72,77.5,M,0.00,0.0,0,0,13,M
2022-03-07,74,53,63.5,M,0.08,0.0,0,1,0,M
2022-03-08,55,51,53.0,M,0.00,0.0,0,12,0,M
2022-03-09,60,51,55.5,M,0.02,0.0,0,9,0,M
2022-03-10,74,55,64.5,M,T,0.0,0,0,0,M
2022-03-11,82,50,66.0,M,T,0.0,0,0,1,M
2022-03-12,59,43,51.0,M,0.00,0.0,0,14,0,M
2022-03-13,72,45,58.5,M,0.00,0.0,0,6,0,M
2022-03-14,81,64,72.5,M,0.02,0.0,0,0,8,M
2022-03-15,84,55,69.5,M,0.00,0.0,0,0,5,M
2022-03-16,81,48,64.5,M,0.00,0.0,0,0,0,M
2022-03-17,85,59,72.0,M,0.00,0.0,0,0,7,M
2022-03-18,81,57,69.0,M,0.00,0.0,0,0,4,M
2022-03-19,77,57,67.0,M,0.00,0.0,0,0,2,M
2022-03-20,80,55,67.5,M,0.00,0.0,0,0,3,M
2022-03-21,86,72,79.0,M,T,0.0,0,0,14,M
2022-03-22,89,64,76.5,M,0.00,0.0,0,0,12,M
2022-03-23,76,53,64.5,M,0.00,0.0,0,0,0,M
2022-03-24,85,48,66.5,M,0.00,0.0,0,0,2,M
2022-03-25,91,53,72.0,M,0.00,0.0,0,0,7,M
2022-03-26,86,56,71.0,M,0.00,0.0,0,0,6,M
2022-03-27,83,57,70.0,M,0.00,0.0,0,0,5,M
2022-03-28,84,67,75.5,M,0.00,0.0,0,0,11,M
2022-03-29,86,73,79.5,M,T,0.0,0,0,15,M
2022-03-30,92,64,78.0,M,T,0.0,0,0,13,M
2022-03-31,83,58,70.5,M,0.00,0.0,0,0,6,M
2022-04-01,83,61,72.0,M,0.00,0.0,0,0,7,M
2022-04-02,87,68,77.5,M,0.00,0.0,0,0,13,M
2022-04-03,88,68,78.0,M,0.00,0.0,0,0,13,M
2022-04-04,87,73,80.0,M,0.00,0.0,0,0,15,M
2022-04-05,96,74,85.0,M,T,0.0,0,0,20,M
2022-04-06,104,74,89.0,M,0.00,0.0,0,0,24,M
2022-04-07,79,58,68.5,M,0.00,0.0,0,0,4,M
2022-04-08,83,54,68.5,M,0.00,0.0,0,0,4,M
2022-04-09,85,57,71.0,M,0.00,0.0,0,0,6,M
2022-04-10,86,71,78.5,M,0.00,0.0,0,0,14,M
2022-04-11,88,73,80.5,M,0.00,0.0,0,0,16,M
