"Max Temperature, Min Temperature, Average Temperature, Error, Precipitation, Snowfall, Error, Heating Degree Days, Cooling Degree Days, Error Daily Lister (2022-01-01 - 2023-04-01), Stn: 13904"

Station:,AUSTIN BERGSTROM INTL AP,State:,TX,ID:,13904
Latitude:,30.18311 degreeN,Longitude:,97.67989 degreeW,Elevation:,481.0 feet
Station period of record:,maxt: 10/17/1942-04/12/2023; mint: 10/17/1942-04/12/2023; avgt: 10/17/1942-04/12/2023; obst: null; pcpn: 10/17/1942-04/12/2023; snow: 03/01/1948-04/12/2023; snwd: 03/01/1948-04/12/2023; hdd: 10/17/1942-04/12/2023; cdd: 10/17/1942-04/12/2023; evap: null

Date,maxt,mint,avgt,obst,pcpn,snow,snwd,hdd,cdd,evap
2022-01-01,78,38,58.0,M,T,0.0,0,7,0,M
2022-01-02,47,25,36.0,M,0.01,0.0,0,29,0,M
2022-01-03,56,21,38.5,M,0.00,0.0,0,26,0,M
2022-01-04,67,25,46.0,M,0.00,0.0,0,19,0,M
2022-01-05,73,33,53.0,M,0.00,0.0,0,12,0,M
2022-01-06,57,31,44.0,M,0.00,0.0,0,21,0,M
2022-01-07,41,27,34.0,M,0.03,0.0,0,31,0,M
2022-01-08,64,41,52.5,M,0.17,0.0,0,12,0,M
2022-01-09,65,48,56.5,M,0.00,0.0,0,8,0,M
2022-01-10,58,41,49.5,M,0.00,0.0,0,15,0,M
2022-01-11,51,37,44.0,M,T,0.0,0,21,0,M
2022-01-12,63,34,48.5,M,0.00,0.0,0,16,0,M
2022-01-13,75,31,53.0,M,0.00,0.0,0,12,0,M
2022-01-14,78,32,55.0,M,0.00,0.0,0,10,0,M
2022-01-15,65,41,53.0,M,0.00,0.0,0,12,0,M
2022-01-16,62,29,45.5,M,0.00,0.0,0,19,0,M
2022-01-17,70,23,46.5,M,0.00,0.0,0,18,0,M
2022-01-18,75,29,52.0,M,0.00,0.0,0,13,0,M
2022-01-19,79,42,60.5,M,0.00,0.0,0,4,0,M
2022-01-20,42,31,36.5,M,0.01,T,0,28,0,M
2022-01-21,49,25,37.0,M,0.00,0.0,0,28,0,M
2022-01-22,54,19,36.5,M,0.00,0.0,0,28,0,M
2022-01-23,58,43,50.5,M,0.00,0.0,0,14,0,M
2022-01-24,53,41,47.0,M,0.11,0.0,0,18,0,M
2022-01-25,53,43,48.0,M,0.00,0.0,0,17,0,M
2022-01-26,55,42,48.5,M,0.00,0.0,0,16,0,M
2022-01-27,60,33,46.5,M,T,0.0,0,18,0,M
2022-01-28,59,31,45.0,M,T,0.0,0,20,0,M
2022-01-29,67,24,45.5,M,0.00,0.0,0,19,0,M
2022-01-30,69,25,47.0,M,0.00,0.0,0,18,0,M
2022-01-31,59,40,49.5,M,4.22,0.0,0,15,0,M
2022-02-01,66,47,56.5,M,0.00,0.0,0,8,0,M
2022-02-02,58,37,47.5,M,0.88,0.0,0,17,0,M
2022-02-03,38,22,30.0,M,1.70,0.2,T,35,0,M
2022-02-04,41,22,31.5,M,0.00,0.0,T,33,0,M
2022-02-05,51,19,35.0,M,0.00,0.0,0,30,0,M
2022-02-06,58,18,38.0,M,0.00,0.0,0,27,0,M
2022-02-07,61,29,45.0,M,0.00,0.0,0,20,0,M
2022-02-08,66,23,44.5,M,0.00,0.0,0,20,0,M
2022-02-09,74,33,53.5,M,0.00,0.0,0,11,0,M
2022-02-10,73,31,52.0,M,0.00,0.0,0,13,0,M
2022-02-11,75,45,60.0,M,0.00,0.0,0,5,0,M
2022-02-12,57,27,42.0,M,0.02,T,0,23,0,M
2022-02-13,66,23,44.5,M,0.00,0.0,0,20,0,M
2022-02-14,69,25,47.0,M,0.00,0.0,0,18,0,M
2022-02-15,75,29,52.0,M,0.00,0.0,0,13,0,M
2022-02-16,77,60,68.5,M,T,0.0,0,0,4,M
2022-02-17,72,36,54.0,M,T,0.0,0,11,0,M
2022-02-18,58,30,44.0,M,0.00,0.0,0,21,0,M
2022-02-19,65,23,44.0,M,0.00,0.0,0,21,0,M
2022-02-20,71,31,51.0,M,0.00,0.0,0,14,0,M
2022-02-21,85,62,73.5,M,T,0.0,0,0,9,M
2022-02-22,85,48,66.5,M,0.00,0.0,0,0,2,M
2022-02-23,48,29,38.5,M,0.03,0.0,0,26,0,M
2022-02-24,36,28,32.0,M,T,0.0,0,33,0,M
2022-02-25,38,30,34.0,M,T,0.0,0,31,0,M
2022-02-26,41,36,38.5,M,0.07,0.0,0,26,0,M
2022-02-27,60,29,44.5,M,T,0.0,0,20,0,M
2022-02-28,66,21,43.5,M,0.00,0.0,0,21,0,M
2022-03-01,72,28,50.0,M,0.00,0.0,0,15,0,M
2022-03-02,75,30,52.5,M,0.00,0.0,0,12,0,M
2022-03-03,78,46,62.0,M,0.00,0.0,0,3,0,M
2022-03-04,79,58,68.5,M,T,0.0,0,0,4,M
2022-03-05,81,64,72.5,M,0.00,0.0,0,0,8,M
2022-03-06,82,66,74.0,M,0.00,0.0,0,0,9,M
2022-03-07,72,43,57.5,M,0.09,0.0,0,7,0,M
2022-03-08,54,39,46.5,M,0.01,0.0,0,18,0,M
2022-03-09,61,33,47.0,M,0.00,0.0,0,18,0,M
2022-03-10,72,28,50.0,M,0.00,0.0,0,15,0,M
2022-03-11,62,36,49.0,M,T,0.0,0,16,0,M
2022-03-12,56,22,39.0,M,0.00,0.0,0,26,0,M
2022-03-13,67,19,43.0,M,0.00,0.0,0,22,0,M
2022-03-14,82,40,61.0,M,T,0.0,0,4,0,M
2022-03-15,77,41,59.0,M,0.00,0.0,0,6,0,M
2022-03-16,81,39,60.0,M,0.00,0.0,0,5,0,M
2022-03-17,71,39,55.0,M,T,0.0,0,10,0,M
2022-03-18,73,42,57.5,M,0.00,0.0,0,7,0,M
2022-03-19,78,35,56.5,M,0.00,0.0,0,8,0,M
2022-03-20,78,33,55.5,M,0.00,0.0,0,9,0,M
2022-03-21,80,58,69.0,M,1.39,0.0,0,0,4,M
2022-03-22,64,46,55.0,M,0.52,0.0,0,10,0,M
2022-03-23,69,39,54.0,M,0.00,0.0,0,11,0,M
2022-03-24,75,37,56.0,M,0.00,0.0,0,9,0,M
2022-03-25,84,35,59.5,M,0.00,0.0,0,5,0,M
2022-03-26,88,39,63.5,M,0.00,0.0,0,1,0,M
2022-03-27,85,47,66.0,M,0.00,0.0,0,0,1,M
2022-03-28,85,54,69.5,M,0.00,0.0,0,0,5,M
2022-03-29,79,67,73.0,M,0.00,0.0,0,0,8,M
2022-03-30,80,55,67.5,M,0.20,0.0,0,0,3,M
2022-03-31,74,41,57.5,M,0.00,0.0,0,7,0,M
2022-04-01,81,42,61.5,M,0.00,0.0,0,3,0,M
2022-04-02,85,51,68.0,M,0.00,0.0,0,0,3,M
2022-04-03,85,47,66.0,M,0.00,0.0,0,0,1,M
2022-04-04,81,64,72.5,M,0.00,0.0,0,0,8,M
2022-04-05,93,66,79.5,M,0.00,0.0,0,0,15,M
2022-04-06,78,52,65.0,M,0.00,0.0,0,0,0,M
2022-04-07,76,42,59.0,M,0.00,0.0,0,6,0,M
2022-04-08,78,36,57.0,M,0.00,0.0,0,8,0,M
2022-04-09,86,35,60.5,M,0.00,0.0,0,4,0,M
2022-04-10,85,52,68.5,M,0.00,0.0,0,0,4,M
2022-04-11,80,68,74.0,M,0.17,0.0,0,0,9,M
2022-04-12,90,71,80.5,M,0.00,0.0,0,0,16,M
2022-04-13,93,57,75.0,M,T,0.0,0,0,10,M
2022-04-14,82,47,64.5,M,0.00,0.0,0,0,0,M
2022-04-15,83,49,66.0,M,0.00,0.0,0,0,1,M
2022-04-16,82,70,76.0,M,0.00,0.0,0,0,11,M
2022-04-17,87,63,75.0,M,0.02,0.0,0,0,10,M
2022-04-18,77,58,67.5,M,0.00,0.0,0,0,3,M
2022-04-19,71,48,59.5,M,0.01,0.0,0,5,0,M
2022-04-20,84,67,75.5,M,T,0.0,0,0,11,M
2022-04-21,80,71,75.5,M,T,0.0,0,0,11,M
2022-04-22,88,71,79.5,M,0.00,0.0,0,0,15,M
2022-04-23,87,70,78.5,M,0.00,0.0,0,0,14,M
2022-04-24,91,68,79.5,M,T,0.0,0,0,15,M
2022-04-25,74,60,67.0,M,1.96,0.0,0,0,2,M
2022-04-26,76,57,66.5,M,0.04,0.0,0,0,2,M
2022-04-27,79,56,67.5,M,0.00,0.0,0,0,3,M
2022-04-28,86,68,77.0,M,0.00,0.0,0,0,12,M
2022-04-29,85,70,77.5,M,T,0.0,0,0,13,M
2022-04-30,89,71,80.0,M,T,0.0,0,0,15,M
2022-05-01,87,71,79.0,M,0.04,0.0,0,0,14,M
2022-05-02,84,67,75.5,M,T,0.0,0,0,11,M
2022-05-03,90,74,82.0,M,T,0.0,0,0,17,M
2022-05-04,89,72,80.5,M,0.05,0.0,0,0,16,M
2022-05-05,87,63,75.0,M,0.16,0.0,0,0,10,M
2022-05-06,93,57,75.0,M,0.00,0.0,0,0,10,M
2022-05-07,95,72,83.5,M,0.00,0.0,0,0,19,M
2022-05-08,96,73,84.5,M,0.00,0.0,0,0,20,M
